"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US (USW00026451)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1/1/1990,,6,-1,0.01,0.4,10
1/2/1990,,13,6,0.15,2.5,11
1/3/1990,,19,11,0.03,0.9,12
1/4/1990,,22,14,0,0,12
1/5/1990,,21,4,0,0,12
1/6/1990,,14,,0,0,12
1/7/1990,,19,10,0.15,4,12
1/8/1990,,11,-1,0,0,14
1/9/1990,,,-17,0,0,13
1/10/1990,,16,-10,0.02,0.2,13
1/11/1990,,30,11,0.29,4.6,13
1/12/1990,,36,19,0,0,18
1/13/1990,,39,26,0.18,2.5,17
1/14/1990,,31,9,0,0,19
1/15/1990,,36,10,0.04,0.5,18
1/16/1990,,41,27,0.05,0.2,15
1/17/1990,,41,31,0,0,12
1/18/1990,,38,28,0.01,0.4,11
1/19/1990,,40,24,0,0,11
1/20/1990,,40,36,0,0,11
1/21/1990,,38,28,0,0,11
1/22/1990,,30,26,0.29,4.8,10
1/23/1990,,27,22,0.03,0.6,14
1/24/1990,,24,9,0.01,0.3,14
1/25/1990,,15,-7,0.01,0.4,15
1/26/1990,,4,-7,0,0.3,15
1/27/1990,,8,-1,0.07,2.2,15
1/28/1990,,11,-7,0.08,2.7,18
1/29/1990,,5,-16,0,0,19
1/30/1990,,,-11,0,0,19
1/31/1990,,10,-1,0,0,19
2/1/1990,,11,,0,0,19
2/2/1990,,6,-11,0,0,18
2/3/1990,,4,-12,0,0,18
2/4/1990,,6,-8,0,0,18
2/5/1990,,2,-15,0,0,18
2/6/1990,,-5,-21,0,0,18
2/7/1990,,-1,-23,0,0,18
2/8/1990,,1,-18,0,0.3,18
2/9/1990,,8,,0.04,1.4,18
2/10/1990,,3,-15,0.01,0.1,18
2/11/1990,,1,-18,0,0,18
2/12/1990,,6,-15,0,0,18
2/13/1990,,22,6,0.33,5,18
2/14/1990,,18,-4,0,0,22
2/15/1990,,16,-9,0,0,22
2/16/1990,,18,9,0.16,2.9,22
2/17/1990,,21,16,0.18,2.2,23
2/18/1990,,20,4,0,0,24
2/19/1990,,7,-15,0,0,24
2/20/1990,,3,-14,0,0,24
2/21/1990,,5,-13,0,0,24
2/22/1990,,7,-12,0,0,24
2/23/1990,,22,7,0.12,1.3,24
2/24/1990,,28,12,0.24,3.5,24
2/25/1990,,36,4,0,0,26
2/26/1990,,43,22,0.01,0.2,23
2/27/1990,,29,7,0.34,5.4,19
2/28/1990,,13,-4,0.03,0.7,24
3/1/1990,,39,12,0.02,0.2,24
3/2/1990,,42,33,0,0,21
3/3/1990,,43,29,0.33,2.5,17
3/4/1990,,35,21,0,0.1,17
3/5/1990,,26,21,0.07,1.1,17
3/6/1990,,23,17,0,0.1,18
3/7/1990,,26,12,0,0,18
3/8/1990,,32,10,0,0,18
3/9/1990,,33,13,0,0,18
3/10/1990,,27,5,0,0,18
