"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US (USW00014739)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1/1/1936,,35,21,0,0,0
1/2/1936,,35,21,0.21,0,0
1/3/1936,,54,35,1.39,0,0
1/4/1936,,46,35,0,0,0
1/5/1936,,43,33,0.9,0,0
1/6/1936,,40,31,0.05,0,0
1/7/1936,,41,32,0.06,0.1,0
1/8/1936,,40,28,0,0,0
1/9/1936,,39,29,0.22,0,0
1/10/1936,,44,37,0.6,0,0
1/11/1936,,43,34,0,0,0
1/12/1936,,42,32,0.01,0.1,0
1/13/1936,,50,32,0.09,0,0
1/14/1936,,36,26,0,0,0
1/15/1936,,50,28,1.06,0,0
1/16/1936,,46,29,0,0,0
1/17/1936,,33,17,0,0,0
1/18/1936,,35,15,0.35,2.5,3
1/19/1936,,29,17,1.46,10,11
1/20/1936,,26,16,0,0,10
1/21/1936,,28,15,0,0,8
1/22/1936,,38,21,0,0,8
1/23/1936,,41,9,0.01,0,7
1/24/1936,,18,7,0,0,6
1/25/1936,,25,9,0,0,5
1/26/1936,,27,7,0,0,5
1/27/1936,,17,10,0.03,0.3,5
1/28/1936,,22,8,0.02,0.2,5
1/29/1936,,25,9,0,0,5
1/30/1936,,23,4,0,0,4
1/31/1936,,24,5,0,0,4
2/1/1936,,23,8,0,0,4
2/2/1936,,18,9,0,0,4
2/3/1936,,26,7,0,0,4
2/4/1936,,37,21,0.26,0.5,4
2/5/1936,,35,13,0,0,4
2/6/1936,,24,8,0,0,4
2/7/1936,,19,11,0,0,4
2/8/1936,,26,6,0,0,4
2/9/1936,,35,14,0.25,2,6
2/10/1936,,21,7,0,0,6
2/11/1936,,23,7,0,0,5
2/12/1936,,25,14,0,0,5
2/13/1936,,23,15,0.02,0,5
2/14/1936,,30,19,1.46,9.1,14
2/15/1936,,32,20,0,0,12
2/16/1936,,34,22,0.01,0,11
2/17/1936,,38,34,1.3,0,6
2/18/1936,,40,6,0.34,1,5
2/19/1936,,16,4,0,0,5
2/20/1936,,26,8,0,0,5
2/21/1936,,31,11,0,0,5
2/22/1936,,28,16,0,0,5
2/23/1936,,32,14,0,0,5
2/24/1936,,32,15,0,0,4
2/25/1936,,38,30,0.01,0,4
2/26/1936,,46,36,0,0,3
2/27/1936,,39,33,0.01,0,2
2/28/1936,,39,22,0,0,2
2/29/1936,,37,19,0,0,1
3/1/1936,,33,23,0,0,1
3/2/1936,,31,16,0,0,1
3/3/1936,,36,30,0.7,2.7,1
3/4/1936,,49,30,0,0,0
3/5/1936,,41,30,0.14,0.4,0
3/6/1936,,33,22,0,0.2,0
3/7/1936,,28,15,0,0,0
3/8/1936,,34,17,0,0,0
3/9/1936,,49,30,0,0,0
3/10/1936,,50,36,0,0,0
3/11/1936,,45,37,0.36,0,0
3/12/1936,,54,40,1.55,0,0
3/13/1936,,47,35,0,0,0
3/14/1936,,47,34,0,0,0
3/15/1936,,49,37,0,0,0
3/16/1936,,59,34,0,0,0
3/17/1936,,63,44,0,0,0
3/18/1936,,51,43,1.51,0,0
3/19/1936,,52,40,0.09,0,0
3/20/1936,,58,40,0,0,0
3/21/1936,,57,40,0.54,0,0
3/22/1936,,47,37,0.02,0,0
3/23/1936,,58,38,0,0,0
3/24/1936,,46,40,0.01,0,0
3/25/1936,,42,38,0.4,0,0
3/26/1936,,57,40,0,0,0
3/27/1936,,50,38,0.82,0,0
3/28/1936,,59,41,0.26,0,0
3/29/1936,,68,38,0,0,0
3/30/1936,,60,46,0,0,0
3/31/1936,,70,37,0,0,0
4/1/1936,,48,33,0,0,0
4/2/1936,,39,34,1.15,0,0
4/3/1936,,46,33,0.11,0,0
4/4/1936,,46,29,0,0,0
4/5/1936,,53,35,0.01,0,0
4/6/1936,,58,42,0.54,0,0
4/7/1936,,47,38,0.16,0,0
4/8/1936,,47,34,0,0,0
4/9/1936,,56,32,0,0,0
4/10/1936,,42,38,0.3,0,0
4/11/1936,,41,35,0.49,0,0
4/12/1936,,39,35,0.01,0,0
4/13/1936,,46,36,0.03,0,0
4/14/1936,,60,38,0,0,0
4/15/1936,,45,39,0.33,0,0
4/16/1936,,52,38,0.06,0,0
4/17/1936,,50,39,0,0,0
4/18/1936,,51,39,0,0,0
4/19/1936,,54,39,0,0,0
4/20/1936,,59,39,0,0,0
4/21/1936,,70,43,0.3,0,0
4/22/1936,,51,37,0,0,0
4/23/1936,,59,33,0,0,0
4/24/1936,,48,36,0,0,0
4/25/1936,,51,32,0,0,0
4/26/1936,,59,42,0.03,0,0
4/27/1936,,49,38,0,0,0
4/28/1936,,59,37,0,0,0
4/29/1936,,76,54,0,0,0
4/30/1936,,80,58,0.02,0,0
5/1/1936,,77,58,0,0,0
5/2/1936,,81,55,0,0,0
5/3/1936,,73,61,0.49,0,0
5/4/1936,,61,44,0.59,0,0
5/5/1936,,60,47,0,0,0
5/6/1936,,62,47,0,0,0
5/7/1936,,65,50,0,0,0
5/8/1936,,83,55,0,0,0
5/9/1936,,80,47,0,0,0
5/10/1936,,50,44,0,0,0
5/11/1936,,71,44,0,0,0
5/12/1936,,78,53,0.05,0,0
5/13/1936,,81,57,0,0,0
5/14/1936,,62,48,0.04,0,0
5/15/1936,,67,42,0.01,0,0
5/16/1936,,56,34,0.01,0,0
5/17/1936,,72,46,0.02,0,0
5/18/1936,,91,61,0,0,0
5/19/1936,,78,58,0,0,0
5/20/1936,,63,48,0,0,0
5/21/1936,,65,43,0,0,0
5/22/1936,,58,42,0,0,0
5/23/1936,,85,47,0,0,0
5/24/1936,,91,65,0,0,0
5/25/1936,,79,59,0,0,0
5/26/1936,,71,54,0,0,0
5/27/1936,,71,53,0.49,0,0
5/28/1936,,64,49,0,0,0
5/29/1936,,70,45,0,0,0
5/30/1936,,67,51,0,0,0
5/31/1936,,72,48,0,0,0
6/1/1936,,83,53,0,0,0
6/2/1936,,84,63,0,0,0
6/3/1936,,83,63,0,0,0
6/4/1936,,80,64,0,0,0
6/5/1936,,74,61,0,0,0
6/6/1936,,74,59,0,0,0
6/7/1936,,74,56,0,0,0
6/8/1936,,67,55,0,0,0
6/9/1936,,67,55,0,0,0
6/10/1936,,69,55,0,0,0
6/11/1936,,78,58,0,0,0
6/12/1936,,72,59,0.13,0,0
6/13/1936,,61,58,0.07,0,0
6/14/1936,,59,57,1.07,0,0
6/15/1936,,62,57,0.79,0,0
6/16/1936,,76,58,0,0,0
6/17/1936,,79,52,0,0,0
6/18/1936,,74,59,0.12,0,0
6/19/1936,,76,65,0,0,0
6/20/1936,,80,63,0,0,0
6/21/1936,,84,61,0.01,0,0
6/22/1936,,74,53,0,0,0
6/23/1936,,70,,0,0,0
6/24/1936,,,54,0.14,0,0
6/25/1936,,81,55,0,0,0
6/26/1936,,85,63,0,0,0
6/27/1936,,73,63,0.02,0,0
6/28/1936,,78,61,0.02,0,0
6/29/1936,,71,56,0,0,0
6/30/1936,,76,55,0,0,0
7/1/1936,,80,57,0,0,0
7/2/1936,,76,60,0,0,0
7/3/1936,,74,61,0,0,0
7/4/1936,,85,63,0,0,0
7/5/1936,,80,59,0.03,0,0
7/6/1936,,71,58,0,0,0
