"LANSING CAPITAL CITY AIRPORT, MI US (USW00014836)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1/1/1948,,26,22,0.84,3.1,3
1/2/1948,,27,22,0.09,0.9,5
1/3/1948,,31,25,0,0,5
1/4/1948,,32,29,0.11,1.2,6
1/5/1948,,35,25,0,0,6
1/6/1948,,30,15,0,0,5
1/7/1948,,31,14,0,0,5
1/8/1948,,39,25,0,0,5
1/9/1948,,37,26,0,0,4
1/10/1948,,25,11,0,0,4
1/11/1948,,33,13,0.01,0.2,4
1/12/1948,,38,23,0.01,0.1,4
1/13/1948,,25,10,0.03,0.3,4
1/14/1948,,11,3,0,0,4
1/15/1948,,31,2,0.09,1,4
1/16/1948,,30,7,0.05,0.8,5
1/17/1948,,10,,0,0,5
1/18/1948,,11,-9,0,0,5
1/19/1948,,24,3,0.02,0.2,5
1/20/1948,,34,7,0,0,4
1/21/1948,,32,12,0.06,1.4,5
1/22/1948,,14,-1,0.01,0.1,5
1/23/1948,,7,-12,0,0,5
1/24/1948,,12,-10,0.01,0.2,5
1/25/1948,,21,2,0,0,5
1/26/1948,,22,8,0,0,4
1/27/1948,,13,3,0,0,4
1/28/1948,,18,2,0,0,4
1/29/1948,,22,8,0,0,4
1/30/1948,,15,-3,0,0,3
1/31/1948,,13,-3,0,0,3
2/1/1948,,19,-3,0,0,3
2/2/1948,,31,11,0,0,3
2/3/1948,,18,4,0.05,0.5,3
2/4/1948,,17,4,0.08,1.2,4
2/5/1948,,20,-6,0,0,4
2/6/1948,,25,-1,0,0,4
2/7/1948,,29,16,0.04,0.5,4
2/8/1948,,21,4,0,0,4
2/9/1948,,16,-4,0,0,4
2/10/1948,,19,-6,0,0,4
2/11/1948,,25,12,0.07,0.7,4
2/12/1948,,29,12,0,0,4
2/13/1948,,30,22,0.26,0.8,3
2/14/1948,,27,9,0.04,0.4,4
2/15/1948,,33,10,0,0,4
2/16/1948,,44,33,0,0,3
2/17/1948,,43,30,0,0,2
2/18/1948,,42,27,0,0,1
2/19/1948,,50,13,0,0,0
2/20/1948,,18,8,0,0,0
2/21/1948,,18,6,0,0,0
2/22/1948,,25,7,0,0,0
2/23/1948,,37,11,0,0,0
2/24/1948,,49,29,0,0,0
